Round,Date,Class,Session,Pos,Kart#,Driver,Class Code,Laps,Avg Speed,Gap,Best Lap,Best On Lap,Team
Round 4,2025-10-11,2-Stroke,F,1,939,Blade Fountain,KASR,10,38.32 MPH,,1:01.624,9,KartKru
Round 4,2025-10-11,2-Stroke,F,2,24,Keith Bowerman,TaG/X30,10,37.41 MPH,17.013,1:03.417,3,M
Round 4,2025-10-11,2-Stroke,F,4,8,Scott Smith,KA-385,10,36.66 MPH,31.801,1:03.661,5,Smallwood Motorsports / Scott Smith Racing
Round 4,2025-10-11,2-Stroke,F,5,237,Chris Stephens,KA-385,10,36.56 MPH,33.833,1:04.933,4,Smallwood Motorsports
Round 4,2025-10-11,2-Stroke,F,6,44,Giovanni Blackerby,JRMAX,2,25.58 MPH,8 Laps,1:05.626,2,M
Round 4,2025-10-11,2-Stroke,F,DNS,005,Kaden Harter,KASR,0,,,,,M
Round 4,2025-10-11,2-Stroke,F,1,939,Blade Fountain,,10,38.32 MPH,-,1:01.624,9,KartKru
Round 4,2025-10-11,2-Stroke,F,DNS,005,Kaden Harter,,0,,,,,M
Round 4,2025-10-11,2-Stroke,F,1,24,Keith Bowerman,,10,37.41 MPH,-,1:03.417,3,M
Round 4,2025-10-11,2-Stroke,F,1,8,Scott Smith,,10,36.66 MPH,-,1:03.661,5,Smallwood Motorsports / Scott Smith Racing
Round 4,2025-10-11,2-Stroke,F,2,237,Chris Stephens,,10,36.56 MPH,2.032,1:04.933,4,Smallwood Motorsports
Round 4,2025-10-11,2-Stroke,F,1,44,Giovanni Blackerby,,2,25.58 MPH,-,1:05.626,2,M
Round 5,2025-10-12,Mini/Cadet,P,1,924,Aiden Harbaugh,206MIN,5,36.51 MPH,,1:10.124,4,M
Round 5,2025-10-12,Mini/Cadet,P,2,013,Logan Pollack,206MIN,5,37.13 MPH,0.869,1:10.993,4,Privateer
Round 5,2025-10-12,Mini/Cadet,P,3,88,Lucas Schreiber,206MIN,4,37.38 MPH,1.264,1:11.388,4,M
Round 5,2025-10-12,Mini/Cadet,P,4,17,Anthony Ciofani,206MIN,5,37.13 MPH,1.448,1:11.572,4,M
Round 5,2025-10-12,Mini/Cadet,P,5,80,Ashlyn Taylor,206MIN,5,36.96 MPH,1.888,1:12.012,4,M
Round 5,2025-10-12,Mini/Cadet,P,6,25,Dominic Borelli,T4MIN,4,31.49 MPH,13.194,1:23.318,3,Borelli Motorsports
Round 5,2025-10-12,Mini/Cadet,P,DNS,O,Joseph Panico,206MIN,0,,,,,
Round 5,2025-10-12,Mini/Cadet,P,1,924,Aiden Harbaugh,,5,36.51 MPH,-,1:10.124,4,M
Round 5,2025-10-12,Mini/Cadet,P,2,013,Logan Pollack,,5,37.13 MPH,0.869,1:10.993,4,Privateer
Round 5,2025-10-12,Mini/Cadet,P,3,88,Lucas Schreiber,,4,37.38 MPH,1.264,1:11.388,4,M
Round 5,2025-10-12,Mini/Cadet,P,4,17,Anthony Ciofani,,5,37.13 MPH,1.448,1:11.572,4,M
Round 5,2025-10-12,Mini/Cadet,P,5,80,Ashlyn Taylor,,5,36.96 MPH,1.888,1:12.012,4,M
Round 5,2025-10-12,Mini/Cadet,P,DNS,O,Joseph Panico,,0,,,,,
Round 5,2025-10-12,Mini/Cadet,P,1,25,Dominic Borelli,,4,31.49 MPH,-,1:23.318,3,Borelli Motorsports
Round 5,2025-10-12,Kid Kart,P,1,6,Gunner Surace,,2,24.46 MPH,,1:45.137,2,M
Round 5,2025-10-12,Junior,P,1,27,Colin Schreiber,JRMAX,2,43.03 MPH,,1:02.345,1,M
Round 5,2025-10-12,Junior,P,2,44,Giovanni Blackerby,JRMAX,2,42.96 MPH,0.066,1:02.411,1,M
Round 5,2025-10-12,Junior,P,3,80,Ashlyn Taylor,T4JR,2,39.45 MPH,5.655,1:08.000,1,M
Round 5,2025-10-12,Junior,P,4,53,Anna Mccrone,T4JR,2,39.1 MPH,6.184,1:08.529,1,
Round 5,2025-10-12,Junior,P,5,22,Jenson Janda,206JR,1,38.63 MPH,7.138,1:09.483,1,
Round 5,2025-10-12,Junior,P,6,54,Gavin Patterson,206JR,1,38.22 MPH,7.900,1:10.245,1,M
Round 5,2025-10-12,Junior,P,7,18,Kristopher Mccrone,T4JR,1,38.11 MPH,8.093,1:10.438,1,
Round 5,2025-10-12,Junior,P,8,899,Lucas Mccrone,T4JR,,,,,,
Round 5,2025-10-12,Junior,P,1,27,Colin Schreiber,,2,43.03 MPH,-,1:02.345,1,M
Round 5,2025-10-12,Junior,P,2,44,Giovanni Blackerby,,2,42.96 MPH,0.066,1:02.411,1,M
Round 5,2025-10-12,Junior,P,1,80,Ashlyn Taylor,,2,39.45 MPH,-,1:08.000,1,M
Round 5,2025-10-12,Junior,P,2,53,Anna Mccrone,,2,39.1 MPH,0.529,1:08.529,1,
Round 5,2025-10-12,Junior,P,3,18,Kristopher Mccrone,,1,38.11 MPH,2.438,1:10.438,1,
Round 5,2025-10-12,Junior,P,4,899,Lucas Mccrone,,,,,,,
Round 5,2025-10-12,Junior,P,1,22,Jenson Janda,,1,38.63 MPH,-,1:09.483,1,
Round 5,2025-10-12,Junior,P,2,54,Gavin Patterson,,1,38.22 MPH,0.762,1:10.245,1,M
Round 5,2025-10-12,Senior/Master,P,1,237,Chris Stephens,KA-385,5,41.91 MPH,,1:03.773,2,Smallwood Motorsports
Round 5,2025-10-12,Senior/Master,P,2,117,Galvin Dovgan,206SR,4,36.95 MPH,6.414,1:10.187,4,Privateer
Round 5,2025-10-12,Senior/Master,P,3,3,Eric Baun,206-390,4,37.32 MPH,7.659,1:11.432,3,M
Round 5,2025-10-12,Senior/Master,P,4,16,Kyle Davis,206-390,3,36.89 MPH,7.825,1:11.598,3,Privateer
Round 5,2025-10-12,Senior/Master,P,5,88,Scott Smith,206SR,4,37.16 MPH,8.027,1:11.800,4,Scott Smith Racing &amp; 488 Performance
Round 5,2025-10-12,Senior/Master,P,6,721,Cameron Dovgan,206-390,4,35.98 MPH,9.723,1:13.496,4,M
Round 5,2025-10-12,Senior/Master,P,DNS,314,Chad Karnik,206-390,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,339,Cj Karnik,206-390,0,,,,,Privateer
Round 5,2025-10-12,Senior/Master,P,DNS,005,Kaden Harter,KASR,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,8,Ian Quinn,KASR,0,,,,,Smallwood Motorsports
Round 5,2025-10-12,Senior/Master,P,1,237,Chris Stephens,,5,41.91 MPH,-,1:03.773,2,Smallwood Motorsports
Round 5,2025-10-12,Senior/Master,P,1,117,Galvin Dovgan,,4,36.95 MPH,-,1:10.187,4,Privateer
Round 5,2025-10-12,Senior/Master,P,2,88,Scott Smith,,4,37.16 MPH,1.613,1:11.800,4,Scott Smith Racing &amp; 488 Performance
Round 5,2025-10-12,Senior/Master,P,1,3,Eric Baun,,4,37.32 MPH,-,1:11.432,3,M
Round 5,2025-10-12,Senior/Master,P,2,16,Kyle Davis,,3,36.89 MPH,0.166,1:11.598,3,Privateer
Round 5,2025-10-12,Senior/Master,P,3,721,Cameron Dovgan,,4,35.98 MPH,2.064,1:13.496,4,M
Round 5,2025-10-12,Senior/Master,P,DNS,314,Chad Karnik,,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,339,Cj Karnik,,0,,,,,Privateer
Round 5,2025-10-12,Senior/Master,P,DNS,005,Kaden Harter,,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,8,Ian Quinn,,0,,,,,Smallwood Motorsports
Round 5,2025-10-12,Kid Kart,P,1,6,Gunner Surace,,2,22.9 MPH,,1:53.595,2,M
Round 5,2025-10-12,Mini/Cadet,P,1,013,Logan Pollack,206MIN,4,37.72 MPH,,1:10.761,4,Privateer
Round 5,2025-10-12,Mini/Cadet,P,2,17,Anthony Ciofani,206MIN,4,37.7 MPH,0.012,1:10.773,4,M
Round 5,2025-10-12,Mini/Cadet,P,3,O,Joseph Panico,206MIN,4,37.66 MPH,0.102,1:10.863,4,
Round 5,2025-10-12,Mini/Cadet,P,4,924,Aiden Harbaugh,206MIN,4,36.02 MPH,0.341,1:11.102,4,M
Round 5,2025-10-12,Mini/Cadet,P,5,88,Lucas Schreiber,206MIN,4,37.25 MPH,0.536,1:11.297,4,M
Round 5,2025-10-12,Mini/Cadet,P,6,80,Ashlyn Taylor,206MIN,4,37.24 MPH,1.212,1:11.973,4,M
Round 5,2025-10-12,Mini/Cadet,P,7,25,Dominic Borelli,T4MIN,4,32.88 MPH,9.544,1:20.305,2,Borelli Motorsports
Round 5,2025-10-12,Mini/Cadet,P,1,013,Logan Pollack,,4,37.72 MPH,-,1:10.761,4,Privateer
Round 5,2025-10-12,Mini/Cadet,P,2,17,Anthony Ciofani,,4,37.7 MPH,0.012,1:10.773,4,M
Round 5,2025-10-12,Mini/Cadet,P,3,O,Joseph Panico,,4,37.66 MPH,0.102,1:10.863,4,
Round 5,2025-10-12,Mini/Cadet,P,4,924,Aiden Harbaugh,,4,36.02 MPH,0.341,1:11.102,4,M
Round 5,2025-10-12,Mini/Cadet,P,5,88,Lucas Schreiber,,4,37.25 MPH,0.536,1:11.297,4,M
Round 5,2025-10-12,Mini/Cadet,P,6,80,Ashlyn Taylor,,4,37.24 MPH,1.212,1:11.973,4,M
Round 5,2025-10-12,Mini/Cadet,P,1,25,Dominic Borelli,,4,32.88 MPH,-,1:20.305,2,Borelli Motorsports
Round 5,2025-10-12,Junior,P,1,27,Colin Schreiber,JRMAX,4,43.09 MPH,,1:01.929,4,M
Round 5,2025-10-12,Junior,P,2,44,Giovanni Blackerby,JRMAX,4,42.99 MPH,0.307,1:02.236,3,M
Round 5,2025-10-12,Junior,P,3,80,Ashlyn Taylor,T4JR,6,39.47 MPH,5.702,1:07.631,5,M
Round 5,2025-10-12,Junior,P,4,899,Lucas Mccrone,T4JR,6,39.24 MPH,6.284,1:08.213,4,
Round 5,2025-10-12,Junior,P,5,53,Anna Mccrone,T4JR,6,38.85 MPH,6.900,1:08.829,5,
Round 5,2025-10-12,Junior,P,6,22,Jenson Janda,206JR,5,38.08 MPH,7.248,1:09.177,5,
Round 5,2025-10-12,Junior,P,7,54,Gavin Patterson,206JR,5,37.74 MPH,7.576,1:09.505,5,M
Round 5,2025-10-12,Junior,P,8,18,Kristopher Mccrone,T4JR,5,38.05 MPH,7.732,1:09.661,2,
Round 5,2025-10-12,Junior,P,1,27,Colin Schreiber,,4,43.09 MPH,-,1:01.929,4,M
Round 5,2025-10-12,Junior,P,2,44,Giovanni Blackerby,,4,42.99 MPH,0.307,1:02.236,3,M
Round 5,2025-10-12,Junior,P,1,80,Ashlyn Taylor,,6,39.47 MPH,-,1:07.631,5,M
Round 5,2025-10-12,Junior,P,2,899,Lucas Mccrone,,6,39.24 MPH,0.582,1:08.213,4,
Round 5,2025-10-12,Junior,P,3,53,Anna Mccrone,,6,38.85 MPH,1.198,1:08.829,5,
Round 5,2025-10-12,Junior,P,4,18,Kristopher Mccrone,,5,38.05 MPH,2.030,1:09.661,2,
Round 5,2025-10-12,Junior,P,1,22,Jenson Janda,,5,38.08 MPH,-,1:09.177,5,
Round 5,2025-10-12,Junior,P,2,54,Gavin Patterson,,5,37.74 MPH,0.328,1:09.505,5,M
Round 5,2025-10-12,Senior/Master,P,1,237,Chris Stephens,KA-385,5,41.53 MPH,,1:04.192,3,Smallwood Motorsports
Round 5,2025-10-12,Senior/Master,P,2,16,Kyle Davis,206-390,5,37.93 MPH,6.053,1:10.245,4,Privateer
Round 5,2025-10-12,Senior/Master,P,3,117,Galvin Dovgan,206SR,5,37.73 MPH,6.338,1:10.530,5,Privateer
Round 5,2025-10-12,Senior/Master,P,4,3,Eric Baun,206-390,5,37.68 MPH,6.628,1:10.820,2,M
Round 5,2025-10-12,Senior/Master,P,5,88,Scott Smith,206SR,5,37.59 MPH,6.797,1:10.989,4,Scott Smith Racing &amp; 488 Performance
Round 5,2025-10-12,Senior/Master,P,DNS,314,Chad Karnik,206-390,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,339,Cj Karnik,206-390,0,,,,,Privateer
Round 5,2025-10-12,Senior/Master,P,DNS,721,Cameron Dovgan,206-390,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,005,Kaden Harter,KASR,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,8,Ian Quinn,KASR,0,,,,,Smallwood Motorsports
Round 5,2025-10-12,Senior/Master,P,1,237,Chris Stephens,,5,41.53 MPH,-,1:04.192,3,Smallwood Motorsports
Round 5,2025-10-12,Senior/Master,P,1,16,Kyle Davis,,5,37.93 MPH,-,1:10.245,4,Privateer
Round 5,2025-10-12,Senior/Master,P,2,3,Eric Baun,,5,37.68 MPH,0.575,1:10.820,2,M
Round 5,2025-10-12,Senior/Master,P,DNS,314,Chad Karnik,,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,339,Cj Karnik,,0,,,,,Privateer
Round 5,2025-10-12,Senior/Master,P,DNS,721,Cameron Dovgan,,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,1,117,Galvin Dovgan,,5,37.73 MPH,-,1:10.530,5,Privateer
Round 5,2025-10-12,Senior/Master,P,2,88,Scott Smith,,5,37.59 MPH,0.459,1:10.989,4,Scott Smith Racing &amp; 488 Performance
Round 5,2025-10-12,Senior/Master,P,DNS,005,Kaden Harter,,0,,,,,M
Round 5,2025-10-12,Senior/Master,P,DNS,8,Ian Quinn,,0,,,,,Smallwood Motorsports
Round 5,2025-10-12,Mini/Cadet,Q,1,O,Joseph Panico,206MIN,3,37.95 MPH,,1:10.499,1,
Round 5,2025-10-12,Mini/Cadet,Q,2,924,Aiden Harbaugh,206MIN,3,36.97 MPH,0.038,1:10.537,3,M
